
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
91=	Hamza Nouman	ESL	UCL David &amp; Goliath	79	75	79	73	74	380	76.00	2.53
91=	Jaypheth Balang Paul	ESL	UoL Harry Potter and the boy who co	74	79	78	75	74	380	76.00	2.10
95=	Yuen Bing Ooi	Novice	UCL Spicy Sauce	77	77	75	76	74	379	75.80	1.17
95=	Jasmine Harding	Novice	UCL Spicy Sauce	76	77	76	77	73	379	75.80	1.47
95=	Tik Sze		Imperial MS	77	73	77	76	76	379	75.80	1.47
98=	Jayson Currie	Novice	EXEtension case	77	78	76	73	74	378	75.60	1.85
98=	Danil Kustin	ESL	LBS A	78	76	77	74	73	378	75.60	1.85
98=	Mikołaj Jabłoński	ESL	Feta Zubrowka	73	78	73	76	78	378	75.60	2.24
98=	Ayman Memon		UCD L&amp;H Queens recolonising Ireland	77	76	74	77	74	378	75.60	1.36
102=	Maher Gidwani	Novice	Wondering what seriousposting disco	77	77	77	73	73	377	75.40	1.96
102=	Zach Wilson	Novice	Warwick I GUESS THAT K(A)NT GETTING	75	78	77	72	75	377	75.40	2.06
102=	Hania Pabis	ESL	Win = cat feet pics	78	76	72	74	77	377	75.40	2.15
105=	Krish Singh		Warwick I GUESS THAT K(A)NT GETTING	75	78	74	73	76	376	75.20	1.72
105=	Patryk Biernat	ESL	We do own a braincell, collectively	76	76	75	73	76	376	75.20	1.17
105=	Antonia Rieder	Novice	Argument Alchemists	75	72	74	80	75	376	75.20	2.64
105=	Mustafaa Khan	Novice	Imperial MS	76	72	76	76	76	376	75.20	1.60
105=	Aimee Rogers	Novice	Lucky Crickets	74	76	75	74	77	376	75.20	1.17
105=	Agnes Li	ESL	Chefs	76	76	74	72	78	376	75.20	2.04
105=	Myra Kong	ESL	Chefs	76	76	75	71	78	376	75.20	2.32
112=	Nikhil Santhoshkumar Pillai	Novice	EXEtension case	76	77	76	72	74	375	75.00	1.79
112=	Brian Jones	Novice	tandoori fish and chips	77	77	76	76	69	375	75.00	3.03
114	Michaela-Georgia Vachou-Peirantakou	ESL	Feta Zubrowka	73	77	73	74	77	374	74.80	1.83
115	Nikhil Akappuram	ESL, Novice	tandoori fish and chips	76	76	76	77	68	373	74.60	3.32
