
Rk	team	categories	R1	R2	R3	R4	R5	Pts	Spk	1sts	2nds
73=	Boaz Katzir	ESL	Tel Aviv A	78	80	77	79	76	390	78.00	1.41
79=	Sandeep Tissaaratchy		HWS A	79	76	78	78	78	389	77.80	0.98
79=	redacted	ESL	UFD cain isn&#x27;t able	75	79	80	77	78	389	77.80	1.72
79=	Zainab Sardar		EUDU Debating&#x27;s coming Rome	79	79	77	76	78	389	77.80	1.17
79=	Daud Kharal	ESL	come to LUMS Pre ABP + Chanidu	77	76	80	78	78	389	77.80	1.33
79=	Aarit Bhattacharya		Imperial A	76	77	78	78	80	389	77.80	1.33
79=	Dhruv Hariharan		ETH Zurich ETHereum	77	78	75	81	78	389	77.80	1.94
79=	Kamila Kawczak		Kawczak &amp; Hupert	77	80	76	76	80	389	77.80	1.83
79=	Laura Serafine Pilmark	ESL	CDS Girl Math Economists	77	76	77	79	80	389	77.80	1.47
79=	David Logan		Oxford D&amp;H	80	78	76	76	79	389	77.80	1.60
79=	Jason Tu	Novice	UPenn Hot Butter Cuttlefish	77	76	76	80	80	389	77.80	1.83
79=	Fatima Haidar	ESL	Princeton Brexit	81	79	77	76	76	389	77.80	1.94
90=	Lamia Nur Rahman		HWS A	78	77	79	77	77	388	77.60	0.80
90=	Pavle Antonijević	ESL	Belgrade C	78	75	78	75	82	388	77.60	2.58
90=	Mikołaj Jabłoński	ESL	Cardiff mamy Wiedeń w domu	77	76	80	78	77	388	77.60	1.36
93=	Anna Sawicka	ESL	TCD Hist HS	78	79	78	76	76	387	77.40	1.20
93=	Robiah Arefin Ibn Mahmud	ESL	me, myself, and i	78	76	81	75	77	387	77.40	2.06
93=	Henrietta Vanni		Henrietta Vanni	77	77	80	76	77	387	77.40	1.36
93=	David Kelly		TCD Phil Every DART is a Train but not ever	80	77	76	77	77	387	77.40	1.36
93=	Richard Käsper	ESL, Schools	MHG Pärnu A (Taylor&#x27;s Version)	76	77	76	79	79	387	77.40	1.36
98=	Yit Xiang Wong		Warwick YZ	77	80	75	76	78	386	77.20	1.72
98=	Manuel Englert	ESL	Berlin Utilitarian Impacts disguised as D	80	73	79	78	76	386	77.20	2.48
98=	Rick Tan		UCL A	78	75	78	79	76	386	77.20	1.47
98=	Justin Kim	Novice	CIS A	78	78	80	78	72	386	77.20	2.71
98=	Alex Zhang	Novice	CIS A	79	79	80	77	71	386	77.20	3.25
98=	Jonah Rosen		Hart House A	74	77	81	75	79	386	77.20	2.56
98=	Aniket Patra	ESL	Aniket &amp; Rishabh	76	79	78	77	76	386	77.20	1.17
98=	Tommy Koh		TCD Phil Every DART is a Train but not ever	79	77	76	76	78	386	77.20	1.17
106=	Katy Harrington		TCD Hist HS	77	78	79	76	75	385	77.00	1.41
106=	Eoghan Connolly		EUDU Debating&#x27;s coming Rome	78	76	77	76	78	385	77.00	0.89
106=	Teymour Aldridge		ETH Zurich ETHereum	76	78	74	80	77	385	77.00	2.00
106=	Faisal Raihan	ESL	One and a half engineering	77	76	79	75	78	385	77.00	1.41
106=	Rishabh Gupta	ESL	Aniket &amp; Rishabh	76	78	78	77	76	385	77.00	0.89
111=	Skylar Kleinman	Novice	Cornell A	73	78	77	77	79	384	76.80	2.04
111=	Filippos Koutsodimitropoulos	ESL	Athens B	78	75	77	76	78	384	76.80	1.17
111=	Hamza Nouman		UCL A	77	74	79	78	76	384	76.80	1.72
111=	Mia Karolina Altküla	ESL, Schools	MHG Pärnu A (Taylor&#x27;s Version)	75	76	77	77	79	384	76.80	1.33
115=	Katarina Lazić	ESL	Belgrade C	78	75	77	74	79	383	76.60	1.85
115=	Aigerim Aibassova	ESL	NU S	74	77	77	77	78	383	76.60	1.36
117=	William Lock	Novice	Cornell A	73	77	76	78	78	382	76.40	1.85
117=	Maro Samara	ESL	Athens B	77	75	76	76	78	382	76.40	1.02
117=	Emma Hansen	ESL	Berlin Utilitarian Impacts disguised as D	78	73	79	77	75	382	76.40	2.15
117=	Myra Kong	ESL	St Andrews (D)esignated cheer squad	77	78	78	76	73	382	76.40	1.85
117=	Angeliki Ntalapera	ESL, Novice	NTUA Athens Tech(nically correct)	78	80	78	71	75	382	76.40	3.14
